Employee Name,Company ID,Avg Work Hours/Day,Avg Extra Time (Hours/Day),Leaves (Last 3 Months),Projects Completed (Last 3 Months),MetaMask Address
Aarav,TCS20261001,7.3,0.7,3,1,0xcb522083f04D9578fe4D8283F54b6A46185BB15c
Vivaan,TCS20261002,9.0,2.2,1,4,0x786A69834c9Ba207d53B4A4e90c46F40bca03974
Aditya,HCL20261003,7.3,0.2,3,4,0xa70567C588D09aF5a89cD8fA3B9ca8d5da3e6e7B
Rohan,AMZ20261004,7.3,0.5,8,3,0xcb522083f04D9578fe4D8283F54b6A46185BB15c
Neha,ACC20261005,8.4,0.7,0,1,0x786A69834c9Ba207d53B4A4e90c46F40bca03974
Priya,HCL20261006,8.1,0.4,5,0,0xa70567C588D09aF5a89cD8fA3B9ca8d5da3e6e7B
Ananya,TCS20261007,8.2,0.9,5,4,0xcb522083f04D9578fe4D8283F54b6A46185BB15c
Karan,IBM20261008,9.3,1.8,8,0,0x786A69834c9Ba207d53B4A4e90c46F40bca03974
Rahul,HCL20261009,7.4,0.7,5,4,0xa70567C588D09aF5a89cD8fA3B9ca8d5da3e6e7B
Sneha,ACC20261010,9.0,0.1,3,2,0xcb522083f04D9578fe4D8283F54b6A46185BB15c
Arjun,TCS20261011,9.4,2.2,6,2,0x786A69834c9Ba207d53B4A4e90c46F40bca03974
Meera,GOO20261012,8.9,0.9,5,2,0xa70567C588D09aF5a89cD8fA3B9ca8d5da3e6e7B
Ishaan,ACC20261013,8.9,1.8,1,4,0xcb522083f04D9578fe4D8283F54b6A46185BB15c
Kavya,WIP20261014,8.6,0.6,7,3,0x786A69834c9Ba207d53B4A4e90c46F40bca03974
Nikhil,IBM20261015,9.8,1.6,8,1,0xa70567C588D09aF5a89cD8fA3B9ca8d5da3e6e7B
Diya,CTS20261016,9.4,1.9,3,0,0xcb522083f04D9578fe4D8283F54b6A46185BB15c
Varun,CTS20261017,8.2,0.2,5,1,0x786A69834c9Ba207d53B4A4e90c46F40bca03974
Pooja,GOO20261018,8.2,2.3,7,1,0xa70567C588D09aF5a89cD8fA3B9ca8d5da3e6e7B
Sanjay,IBM20261019,7.6,1.9,8,2,0xcb522083f04D9578fe4D8283F54b6A46185BB15c
Aisha,AMZ20261020,8.3,1.5,5,1,0x786A69834c9Ba207d53B4A4e90c46F40bca03974
Manav,WIP20261021,8.5,0.2,0,0,0xa70567C588D09aF5a89cD8fA3B9ca8d5da3e6e7B
Ritika,WIP20261022,8.8,2.0,6,4,0xcb522083f04D9578fe4D8283F54b6A46185BB15c
Yash,TCS20261023,8.2,1.5,7,4,0x786A69834c9Ba207d53B4A4e90c46F40bca03974
Tanvi,IBM20261024,9.7,2.2,0,5,0xa70567C588D09aF5a89cD8fA3B9ca8d5da3e6e7B
Dev,TCS20261025,9.0,1.3,4,5,0xcb522083f04D9578fe4D8283F54b6A46185BB15c
Simran,CTS20261026,7.5,1.1,7,0,0x786A69834c9Ba207d53B4A4e90c46F40bca03974
Harsh,IBM20261027,9.7,1.9,8,0,0xa70567C588D09aF5a89cD8fA3B9ca8d5da3e6e7B
Naina,IBM20261028,9.4,1.3,3,1,0xcb522083f04D9578fe4D8283F54b6A46185BB15c
Akash,CTS20261029,9.2,1.3,8,0,0x786A69834c9Ba207d53B4A4e90c46F40bca03974
Shruti,AMZ20261030,8.0,0.0,5,2,0xa70567C588D09aF5a89cD8fA3B9ca8d5da3e6e7B
